Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00    29555     0.00     0.00  execute
  0.00      0.00     0.00    29555     0.00     0.00  executeTeam
  0.00      0.00     0.00    29555     0.00     0.00  push
  0.00      0.00     0.00    29549     0.00     0.00  pop
  0.00      0.00     0.00     4479     0.00     0.00  P47
  0.00      0.00     0.00     4479     0.00     0.00  P48
  0.00      0.00     0.00     4479     0.00     0.00  P49
  0.00      0.00     0.00     4479     0.00     0.00  T23
  0.00      0.00     0.00     4479     0.00     0.00  reset
  0.00      0.00     0.00     4405     0.00     0.00  P40
  0.00      0.00     0.00     4405     0.00     0.00  P41
  0.00      0.00     0.00     4405     0.00     0.00  T19
  0.00      0.00     0.00     4318     0.00     0.00  P32
  0.00      0.00     0.00     4318     0.00     0.00  P33
  0.00      0.00     0.00     4318     0.00     0.00  P34
  0.00      0.00     0.00     4318     0.00     0.00  P35
  0.00      0.00     0.00     4318     0.00     0.00  P36
  0.00      0.00     0.00     4318     0.00     0.00  P37
  0.00      0.00     0.00     4318     0.00     0.00  P38
  0.00      0.00     0.00     4318     0.00     0.00  P39
  0.00      0.00     0.00     4318     0.00     0.00  T18
  0.00      0.00     0.00     4112     0.00     0.00  P25
  0.00      0.00     0.00     4025     0.00     0.00  P26
  0.00      0.00     0.00     4025     0.00     0.00  P27
  0.00      0.00     0.00     4025     0.00     0.00  P28
  0.00      0.00     0.00     4025     0.00     0.00  P29
  0.00      0.00     0.00     4025     0.00     0.00  P30
  0.00      0.00     0.00     4025     0.00     0.00  T16
  0.00      0.00     0.00     3726     0.00     0.00  P11
  0.00      0.00     0.00     3627     0.00     0.00  P14
  0.00      0.00     0.00     3627     0.00     0.00  P15
  0.00      0.00     0.00     3627     0.00     0.00  T7
  0.00      0.00     0.00     2113     0.00     0.00  P42
  0.00      0.00     0.00     2113     0.00     0.00  P43
  0.00      0.00     0.00     2113     0.00     0.00  T20
  0.00      0.00     0.00     2110     0.00     0.00  P44
  0.00      0.00     0.00     2110     0.00     0.00  P45
  0.00      0.00     0.00     2110     0.00     0.00  T21
  0.00      0.00     0.00     2022     0.00     0.00  P5
  0.00      0.00     0.00     2014     0.00     0.00  A4
  0.00      0.00     0.00     1831     0.00     0.00  P4
  0.00      0.00     0.00     1831     0.00     0.00  P6
  0.00      0.00     0.00     1831     0.00     0.00  T2
  0.00      0.00     0.00     1698     0.00     0.00  P9
  0.00      0.00     0.00     1690     0.00     0.00  P10
  0.00      0.00     0.00     1690     0.00     0.00  T4
  0.00      0.00     0.00     1448     0.00     0.00  A10
  0.00      0.00     0.00      553     0.00     0.00  A17
