Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00   154499     0.00     0.00  execute
  0.00      0.00     0.00   154499     0.00     0.00  executeTeam
  0.00      0.00     0.00   154499     0.00     0.00  push
  0.00      0.00     0.00   154491     0.00     0.00  pop
  0.00      0.00     0.00    18031     0.00     0.00  P3
  0.00      0.00     0.00    17920     0.00     0.00  P42
  0.00      0.00     0.00    17920     0.00     0.00  P43
  0.00      0.00     0.00    17920     0.00     0.00  P44
  0.00      0.00     0.00    17920     0.00     0.00  P45
  0.00      0.00     0.00    17920     0.00     0.00  P46
  0.00      0.00     0.00    17920     0.00     0.00  T24
  0.00      0.00     0.00    17920     0.00     0.00  reset
  0.00      0.00     0.00    17872     0.00     0.00  P40
  0.00      0.00     0.00    17872     0.00     0.00  P41
  0.00      0.00     0.00    17872     0.00     0.00  T23
  0.00      0.00     0.00    17446     0.00     0.00  P32
  0.00      0.00     0.00    17446     0.00     0.00  P33
  0.00      0.00     0.00    17446     0.00     0.00  P34
  0.00      0.00     0.00    17446     0.00     0.00  P35
  0.00      0.00     0.00    17446     0.00     0.00  P36
  0.00      0.00     0.00    17446     0.00     0.00  P37
  0.00      0.00     0.00    17446     0.00     0.00  P38
  0.00      0.00     0.00    17446     0.00     0.00  P39
  0.00      0.00     0.00    17446     0.00     0.00  T22
  0.00      0.00     0.00    17349     0.00     0.00  P21
  0.00      0.00     0.00    17349     0.00     0.00  P22
  0.00      0.00     0.00    17349     0.00     0.00  P23
  0.00      0.00     0.00    17349     0.00     0.00  P24
  0.00      0.00     0.00    17349     0.00     0.00  T14
  0.00      0.00     0.00    16684     0.00     0.00  P15
  0.00      0.00     0.00    16684     0.00     0.00  P16
  0.00      0.00     0.00    16684     0.00     0.00  T10
  0.00      0.00     0.00    16632     0.00     0.00  P0
  0.00      0.00     0.00    16630     0.00     0.00  P2
  0.00      0.00     0.00    16630     0.00     0.00  P4
