Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00    62517     0.00     0.00  execute
  0.00      0.00     0.00    62517     0.00     0.00  executeTeam
  0.00      0.00     0.00    62517     0.00     0.00  push
  0.00      0.00     0.00    62512     0.00     0.00  pop
  0.00      0.00     0.00    14493     0.00     0.00  P0
  0.00      0.00     0.00     9207     0.00     0.00  P41
  0.00      0.00     0.00     9207     0.00     0.00  P42
  0.00      0.00     0.00     9207     0.00     0.00  P43
  0.00      0.00     0.00     9207     0.00     0.00  P44
  0.00      0.00     0.00     9207     0.00     0.00  P45
  0.00      0.00     0.00     9207     0.00     0.00  P46
  0.00      0.00     0.00     9207     0.00     0.00  T20
  0.00      0.00     0.00     9207     0.00     0.00  T21
  0.00      0.00     0.00     9207     0.00     0.00  reset
  0.00      0.00     0.00     8113     0.00     0.00  P33
  0.00      0.00     0.00     8113     0.00     0.00  P34
  0.00      0.00     0.00     8113     0.00     0.00  T18
  0.00      0.00     0.00     8112     0.00     0.00  P23
  0.00      0.00     0.00     7352     0.00     0.00  A17
  0.00      0.00     0.00     7219     0.00     0.00  P12
  0.00      0.00     0.00     7218     0.00     0.00  P13
  0.00      0.00     0.00     7218     0.00     0.00  P14
  0.00      0.00     0.00     7218     0.00     0.00  P15
  0.00      0.00     0.00     7218     0.00     0.00  T9
  0.00      0.00     0.00     6908     0.00     0.00  P5
  0.00      0.00     0.00     6908     0.00     0.00  P6
  0.00      0.00     0.00     6908     0.00     0.00  P7
  0.00      0.00     0.00     6908     0.00     0.00  T4
  0.00      0.00     0.00     6863     0.00     0.00  P1
  0.00      0.00     0.00     6861     0.00     0.00  T0
  0.00      0.00     0.00     6059     0.00     0.00  P20
  0.00      0.00     0.00     6059     0.00     0.00  P21
  0.00      0.00     0.00     6059     0.00     0.00  P22
  0.00      0.00     0.00     6059     0.00     0.00  T12
  0.00      0.00     0.00     2054     0.00     0.00  P30
  0.00      0.00     0.00     2054     0.00     0.00  P31
  0.00      0.00     0.00     2054     0.00     0.00  T16
  0.00      0.00     0.00     2050     0.00     0.00  P24
  0.00      0.00     0.00     2050     0.00     0.00  T13
  0.00      0.00     0.00     1222     0.00     0.00  A10
  0.00      0.00     0.00     1098     0.00     0.00  P35
  0.00      0.00     0.00     1098     0.00     0.00  P36
  0.00      0.00     0.00     1098     0.00     0.00  P37
  0.00      0.00     0.00     1098     0.00     0.00  P38
  0.00      0.00     0.00     1098     0.00     0.00  P39
  0.00      0.00     0.00     1098     0.00     0.00  P40
  0.00      0.00     0.00     1098     0.00     0.00  T19
  0.00      0.00     0.00      724     0.00     0.00  P10
  0.00      0.00     0.00      724     0.00     0.00  P11
  0.00      0.00     0.00      724     0.00     0.00  P25
  0.00      0.00     0.00      724     0.00     0.00  P26
  0.00      0.00     0.00      724     0.00     0.00  P27
  0.00      0.00     0.00      724     0.00     0.00  P28
  0.00      0.00     0.00      724     0.00     0.00  P29
  0.00      0.00     0.00      724     0.00     0.00  T14
  0.00      0.00     0.00      724     0.00     0.00  T7
  0.00      0.00     0.00      689     0.00     0.00  P2
  0.00      0.00     0.00      689     0.00     0.00  P3
  0.00      0.00     0.00      689     0.00     0.00  P9
  0.00      0.00     0.00      689     0.00     0.00  T2
  0.00      0.00     0.00      689     0.00     0.00  T6
  0.00      0.00     0.00      580     0.00     0.00  P16
  0.00      0.00     0.00      580     0.00     0.00  P17
  0.00      0.00     0.00      580     0.00     0.00  T10
  0.00      0.00     0.00      572     0.00     0.00  A15
  0.00      0.00     0.00      311     0.00     0.00  P18
  0.00      0.00     0.00      311     0.00     0.00  P19
  0.00      0.00     0.00      311     0.00     0.00  T11
  0.00      0.00     0.00      246     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > std::__find_if<__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, __gnu_cxx::__ops::_Iter_equals_val<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const> >(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, __gnu_cxx::__ops::_Iter_equals_val<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>, std::random_access_iterator_tag)
  0.00      0.00     0.00       36     0.00     0.00  A16
  0.00      0.00     0.00       32     0.00     0.00  std::__detail::_State<char>::~_State()
  0.00      0.00     0.00       17     0.00     0.00  std::__detail::_State<char>::_State(std::__detail::_State<char>&&)
  0.00      0.00     0.00       13     0.00     0.00  A1
  0.00      0.00     0.00       10     0.00     0.00  std::__detail::_Scanner<char>::_M_advance()
  0.00      0.00     0.00        8     0.00     0.00  A7
